,Unnamed: 0,Email,canales,Total de eventos,Eventos únicos,Valor del evento,Valor medio
0,0,luisa07@manzano.com,Direct,45,20,0,0
1,1,luisa07@manzano.com,Referral,26,15,0,0
2,2,alejandroescobar@bonilla.biz,Direct,15,4,0,0
3,3,lourdesgarrido@fajardo.com,Paid Search,14,7,0,0
4,4,luis-miguel60@hotmail.com,Paid Search,11,3,0,0
5,5,nicolas00@yahoo.com,Organic Search,10,8,0,0
6,6,nrivas@mateos-sales.com,Direct,8,5,0,0
7,7,quevedoantonia@gmail.com,Direct,8,7,0,0
8,8,patriciagelabert@gmail.com,Organic Search,8,4,0,0
9,9,hbelda@yahoo.com,Paid Search,7,5,0,0
10,10,marina14@yahoo.com,Paid Search,7,7,0,0
11,11,santiago28@gmail.com,Organic Search,7,4,0,0
12,12,juan53@millan.com,(Other),7,3,0,0
13,13,juan-francisconavarrete@hotmail.com,Paid Search,7,7,0,0
14,14,enriquepablo@gmail.com,Organic Search,7,1,0,0
15,15,ealiaga@daza.biz,Organic Search,7,5,0,0
16,16,cerdajulia@matas.com,Organic Search,7,4,0,0
17,17,samuelcalderon@gmail.com,Direct,7,4,0,0
18,18,luisa07@manzano.com,Paid Search,7,7,0,0
19,19,hamoros@moliner.net,Paid Search,7,1,0,0
20,20,gema25@fonseca.com,Direct,7,5,0,0
21,21,fajardomarina@gmail.com,Referral,7,3,0,0
22,22,tblasco@raya-vilalta.com,Paid Search,5,3,0,0
23,23,fernando59@hotmail.com,Organic Search,5,5,0,0
24,24,antonia69@gmail.com,Paid Search,5,3,0,0
25,25,zmorell@uriarte.com,Paid Search,5,5,0,0
26,26,veraalicia@hotmail.com,Direct,5,4,0,0
27,27,milagros96@gmail.com,Organic Search,5,5,0,0
28,28,perelloadriana@gmail.com,Paid Search,5,5,0,0
29,29,xavier86@canales.biz,Organic Search,5,1,0,0
30,30,emilio00@cuesta.biz,Organic Search,5,3,0,0
31,31,trio@yahoo.com,Paid Search,5,5,0,0
32,32,manuelmontserrat@hotmail.com,Organic Search,5,4,0,0
33,33,lvazquez@figuerola.com,Organic Search,5,1,0,0
34,34,javierfuentes@agustin.org,Paid Search,5,3,0,0
35,35,garranz@esparza.com,Organic Search,5,4,0,0
36,36,ananicolas@puga.com,Organic Search,5,4,0,0
37,37,rgilabert@vendrell.com,Direct,5,5,0,0
38,38,noelia01@yahoo.com,Organic Search,5,3,0,0
39,39,fferrandez@gmail.com,Paid Search,5,3,0,0
40,40,wpalmer@camara.info,Organic Search,5,5,0,0
41,41,veragabriel@yahoo.com,Paid Search,5,4,0,0
42,42,juanabarranco@morales.com,Paid Search,5,4,0,0
43,43,alejandroescobar@bonilla.biz,Referral,5,4,0,0
44,44,iposada@yahoo.com,Paid Search,5,5,0,0
45,45,jose-carlos53@gmail.com,Direct,5,4,0,0
46,46,josefina14@heras.biz,Organic Search,5,4,0,0
47,47,victor91@yahoo.com,Direct,5,3,0,0
48,48,victoriaamor@lorenzo.com,Paid Search,5,3,0,0
49,49,gabriel10@saenz-pinedo.com,Organic Search,4,4,0,0
50,50,beatrizcerro@redondo.org,Paid Search,4,3,0,0
51,51,juanurrutia@gmail.com,Organic Search,4,3,0,0
52,52,juan-jose66@galvez.com,Paid Search,4,3,0,0
53,53,juan-antonio05@gmail.com,Paid Search,4,3,0,0
54,54,gironasebastian@gmail.com,Direct,4,3,0,0
55,55,marcoasuncion@yahoo.com,Organic Search,4,3,0,0
56,56,albert84@huguet.info,Paid Search,4,1,0,0
57,57,sarasalas@aller.biz,Direct,4,3,0,0
58,58,luqueamparo@ibanez.info,Organic Search,4,3,0,0
59,59,juan-luiscastellanos@boix.org,Organic Search,4,3,0,0
60,60,tomas63@gmail.com,Organic Search,4,3,0,0
61,61,lorenzo36@hotmail.com,Paid Search,4,3,0,0
62,62,monica18@arteaga-uria.com,Paid Search,4,4,0,0
63,63,avilesjavier@hotmail.com,Organic Search,4,3,0,0
64,64,minguezemilio@yahoo.com,Organic Search,4,3,0,0
65,65,tiradomiguel@perez-tellez.biz,Organic Search,4,4,0,0
66,66,mercedes52@gutierrez-villaverde.com,Paid Search,4,3,0,0
67,67,garzonmaria@gmail.com,Paid Search,4,4,0,0
68,68,cardenasmaria@villa.com,Direct,4,3,0,0
69,69,radan@yahoo.com,Organic Search,4,3,0,0
70,70,martin19@duran.net,Direct,4,3,0,0
71,71,ikervallejo@yahoo.com,Organic Search,4,3,0,0
72,72,adrianbarragan@hotmail.com,Organic Search,4,3,0,0
73,73,jovesilvia@gmail.com,Paid Search,4,3,0,0
74,74,pintooscar@acosta.net,Paid Search,4,3,0,0
75,75,qreina@galvez.info,Organic Search,4,3,0,0
76,76,nsegura@gmail.com,Direct,4,3,0,0
77,77,cristinaramirez@yahoo.com,Paid Search,4,4,0,0
78,78,fvilanova@gmail.com,Paid Search,4,3,0,0
79,79,galindojavier@cuervo.com,Organic Search,4,3,0,0
80,80,oandreu@manuel.net,Paid Search,4,3,0,0
81,81,castillasilvia@hotmail.com,Organic Search,4,3,0,0
82,82,patriciaarranz@carlos.com,Paid Search,4,4,0,0
83,83,pavoncatalina@sans.biz,Organic Search,4,1,0,0
84,84,carreterobegona@ruiz.net,Organic Search,4,4,0,0
85,85,canterojuan-jose@hotmail.com,Paid Search,4,4,0,0
86,86,victor-manuelperez@tenorio.com,Organic Search,4,1,0,0
87,87,jesussimo@gmail.com,Direct,4,3,0,0
88,88,gmancebo@paez-diaz.com,Paid Search,4,4,0,0
89,89,fchamorro@gmail.com,Paid Search,4,1,0,0
90,90,waguilera@cazorla-conesa.com,Organic Search,4,3,0,0
91,91,wpinto@hotmail.com,Paid Search,4,3,0,0
92,92,gregorioespana@torre.com,Organic Search,4,3,0,0
93,93,hcuellar@yahoo.com,Organic Search,4,4,0,0
94,94,carmonacarolina@yahoo.com,Organic Search,4,4,0,0
95,95,buendiajulia@valderrama.info,Paid Search,4,4,0,0
96,96,mariano67@comas-rozas.info,Paid Search,4,4,0,0
97,97,bcuesta@yahoo.com,Paid Search,4,3,0,0
98,98,carolinacarlos@alegre-iriarte.biz,Paid Search,4,4,0,0
99,99,mansoenrique@yahoo.com,Organic Search,4,4,0,0
100,100,vazquezraul@hotmail.com,Organic Search,4,4,0,0
101,101,yarranz@dominguez-morales.com,(Other),4,3,0,0
102,102,diego02@yahoo.com,(Other),4,3,0,0
103,103,ignacioabascal@luna-casanovas.com,Direct,4,1,0,0
104,104,clara36@bautista-leon.biz,Organic Search,4,1,0,0
105,105,zsantamaria@caparros.biz,Organic Search,4,4,0,0
106,106,linareslorenzo@yahoo.com,Organic Search,4,3,0,0
107,107,smercader@gmail.com,Organic Search,4,1,0,0
108,108,inmaculadatorralba@yahoo.com,Organic Search,4,4,0,0
109,109,canizaresmanuel@gmail.com,Organic Search,4,4,0,0
110,110,iabril@folch.com,Organic Search,4,1,0,0
111,111,mansoluisa@perello.net,Paid Search,4,3,0,0
112,112,zsomoza@yahoo.com,Paid Search,4,1,0,0
113,113,begona77@hotmail.com,Organic Search,4,3,0,0
114,114,david41@hotmail.com,Organic Search,4,4,0,0
115,115,mbenito@prats-fuertes.net,Direct,4,3,0,0
116,116,bsaavedra@hotmail.com,Organic Search,4,3,0,0
117,117,nievesmur@cuellar-varela.biz,Direct,4,4,0,0
118,118,margarita76@hotmail.com,Organic Search,4,4,0,0
119,119,efranco@gmail.com,Organic Search,4,4,0,0
120,120,adrianluz@costa.com,Paid Search,4,1,0,0
121,121,tomas95@sobrino.net,Paid Search,4,4,0,0
122,122,jose22@talavera.com,Paid Search,4,4,0,0
123,123,hugo34@pol.biz,Organic Search,4,3,0,0
124,124,feijooremedios@guerra.com,Paid Search,4,3,0,0
125,125,alfonso46@canas.info,Organic Search,4,4,0,0
126,126,gcanet@blazquez-arnal.net,Direct,4,3,0,0
127,127,ricardo83@pedrosa.net,Organic Search,4,3,0,0
128,128,mercedes37@yahoo.com,Organic Search,4,4,0,0
129,129,guerravicenta@oller.biz,Organic Search,4,3,0,0
130,130,vicentemadrigal@yahoo.com,Paid Search,4,4,0,0
131,131,beatriz29@llopis-maldonado.com,Organic Search,4,4,0,0
132,132,angelapedraza@hotmail.com,Organic Search,4,3,0,0
133,133,vaguilar@gmail.com,Paid Search,4,1,0,0
134,134,angeles10@gmail.com,Paid Search,4,4,0,0
135,135,emiliopont@ripoll-agusti.biz,Organic Search,4,3,0,0
136,136,palomoveronica@piquer.net,Paid Search,4,4,0,0
137,137,marinapellicer@yahoo.com,Direct,4,1,0,0
138,138,uriartevirginia@gmail.com,Paid Search,4,1,0,0
139,139,nicolas79@gmail.com,Organic Search,4,3,0,0
140,140,jose-carlosegea@sotelo.net,Paid Search,4,4,0,0
141,141,zfigueroa@company.org,Organic Search,4,3,0,0
142,142,alemanysalvador@yahoo.com,(Other),4,4,0,0
143,143,javierbayo@carbonell.biz,Organic Search,4,1,0,0
144,144,emilia77@delgado-vergara.net,Paid Search,4,4,0,0
145,145,antoniasandoval@marti.info,Organic Search,4,1,0,0
146,146,armasines@vazquez.org,Referral,4,3,0,0
147,147,serranoangel@gmail.com,Paid Search,4,3,0,0
148,148,spalma@gmail.com,Organic Search,4,4,0,0
149,149,olgareina@gmail.com,Paid Search,4,1,0,0
150,150,alberto99@arino.com,Direct,4,4,0,0
151,151,cesarcompany@hotmail.com,Organic Search,4,3,0,0
152,152,gelias@gmail.com,Paid Search,4,3,0,0
153,153,lladodolores@hotmail.com,Organic Search,4,1,0,0
154,154,raulamat@gmail.com,Organic Search,4,1,0,0
155,155,querosonia@segarra-pareja.com,Paid Search,4,4,0,0
156,156,qalvarez@gmail.com,Paid Search,4,3,0,0
157,157,ismael75@aguila.biz,Paid Search,4,3,0,0
158,158,ireal@baron.com,Paid Search,4,3,0,0
159,159,moranfrancisco-javier@hotmail.com,Direct,3,3,0,0
160,160,dgallo@yahoo.com,Organic Search,3,3,0,0
161,161,tcaceres@yahoo.com,Paid Search,3,1,0,0
162,162,sebastian06@hotmail.com,Organic Search,3,1,0,0
163,163,fvallejo@yahoo.com,Organic Search,3,3,0,0
164,164,wgallardo@esteve.com,Paid Search,3,3,0,0
165,165,casaldiego@ferreras.org,Paid Search,3,1,0,0
166,166,gibertlourdes@gmail.com,Paid Search,3,1,0,0
167,167,paulallano@gmail.com,Paid Search,3,1,0,0
168,168,vallvicente@marino.com,Paid Search,3,1,0,0
